bitLength,rule,step,hexInitBits
100,217,100,7c9a4f2b1d3e856402fc7b9e3
100,218,100,7c9a4f2b1d3e856402fc7b9e3
100,219,100,7c9a4f2b1d3e856402fc7b9e3
100,220,100,7c9a4f2b1d3e856402fc7b9e3
100,221,100,7c9a4f2b1d3e856402fc7b9e3
100,222,100,7c9a4f2b1d3e856402fc7b9e3
100,223,100,7c9a4f2b1d3e856402fc7b9e3
100,224,100,7c9a4f2b1d3e856402fc7b9e3
100,225,100,7c9a4f2b1d3e856402fc7b9e3
100,226,100,7c9a4f2b1d3e856402fc7b9e3
100,227,100,7c9a4f2b1d3e856402fc7b9e3
100,228,100,7c9a4f2b1d3e856402fc7b9e3
100,229,100,7c9a4f2b1d3e856402fc7b9e3
100,230,100,7c9a4f2b1d3e856402fc7b9e3
100,231,100,7c9a4f2b1d3e856402fc7b9e3
100,232,100,7c9a4f2b1d3e856402fc7b9e3
100,233,100,7c9a4f2b1d3e856402fc7b9e3
100,234,100,7c9a4f2b1d3e856402fc7b9e3
100,235,100,7c9a4f2b1d3e856402fc7b9e3
100,236,100,7c9a4f2b1d3e856402fc7b9e3
100,237,100,7c9a4f2b1d3e856402fc7b9e3
100,238,100,7c9a4f2b1d3e856402fc7b9e3
100,239,100,7c9a4f2b1d3e856402fc7b9e3
100,240,100,7c9a4f2b1d3e856402fc7b9e3
100,241,100,7c9a4f2b1d3e856402fc7b9e3
100,242,100,7c9a4f2b1d3e856402fc7b9e3
100,243,100,7c9a4f2b1d3e856402fc7b9e3
100,244,100,7c9a4f2b1d3e856402fc7b9e3
100,245,100,7c9a4f2b1d3e856402fc7b9e3
100,246,100,7c9a4f2b1d3e856402fc7b9e3
100,247,100,7c9a4f2b1d3e856402fc7b9e3
100,248,100,7c9a4f2b1d3e856402fc7b9e3
100,249,100,7c9a4f2b1d3e856402fc7b9e3
100,250,100,7c9a4f2b1d3e856402fc7b9e3
100,251,100,7c9a4f2b1d3e856402fc7b9e3
100,252,100,7c9a4f2b1d3e856402fc7b9e3
100,253,100,7c9a4f2b1d3e856402fc7b9e3
100,254,100,7c9a4f2b1d3e856402fc7b9e3
100,255,100,7c9a4f2b1d3e856402fc7b9e3
